latency,throughput,packet_loss,jitter,server_response_time,drift
0.25,1.05,0,0.091,0.368,0
0.286,1.05,0,0.055,0.218,0
0.398,1.05,0,0.191,0.885,0
0.429,1.05,0,0.002,0.617,0
0.533,1.05,0,0.021,0.843,0
0.313,1.05,0,0.198,0.746,0
0.245,1.05,0,0.026,0.2329999999999999,0
0.411,1.05,0,0.044,0.41,0
0.28,1.05,0,0.02,0.253,0
0.523,1.05,0,0.056,0.3339999999999999,0
0.332,1.05,0,0.016,0.308,0
0.537,1.05,0,0.043,0.257,0
0.381,1.05,0,0.051,0.251,0
0.348,1.05,0,0.06,0.232,0
0.235,1.05,0,0.034,0.3429999999999999,0
0.244,1.05,0,0.049,0.75,0
0.348,1.05,0,0.203,0.714,0
0.3,1.05,0,0.036,0.665,0
0.232,1.05,0,0.024,0.353,0
0.229,1.05,0,0.106,0.749,0
0.442,1.05,0,0.08,0.857,0
0.359,1.05,0,0.096,0.462,0
0.498,1.05,0,0.041,0.7200000000000001,0
0.64,1.05,0,0.068,0.748,0
0.381,1.05,0,0.136,0.694,0
0.396,1.05,0,0.082,0.8109999999999999,0
0.362,1.05,0,0.002,0.425,0
0.404,1.05,0,0.04,0.322,0
0.43,1.05,0,0.108,0.5609999999999999,0
0.457,1.05,0,0.052,0.754,0
0.558,1.05,0,0.059,0.5640000000000001,0
0.554,1.05,0,0.098,0.73,0
0.348,1.05,0,0.05,0.6449999999999999,0
27.135,1.05,0,0.767,26.942,1
26.332,1.05,0,1.396,7229.993,4
19.452,1.05,0,21.301,43.066,2
19.008,1.05,0,0.009,0.3429999999999999,1
22.514,1.05,0,3.115,29.535,2
23.668,1.05,0,10.107,31615.211,4
21.43,1.05,0,8.724,2.0370000000000004,2
11.481,1.05,0,0.83,1000.807,2
13.508,1.05,0,0.453,3021.461,5
14.064,1.05,0,0.0,3046.3,2
13.803,1.05,0,0.54,31452.515,5
13.087,1.05,0,1.57,14.855,2
15.068,1.05,0,0.448,1.156,1
14.425,1.05,0,0.393,1008.758,2
12.964,1.05,0,6.555,0.224,2
14.247,1.05,0,0.554,0.219,1
14.76,1.05,0,0.095,3032.519,2
13.288,1.05,0,1.651,0.594,2
13.876,1.05,0,0.227,1012.602,2
13.706,1.05,0,0.01,0.315,1
12.96,1.05,0,0.289,0.23,1
13.688,1.05,0,0.239,3021.198,2
12.217,1.05,50,0.748,3038.909,5
14.425,1.05,0,6.853,0.209,2
14.348,1.05,0,6.629,0.213,2
13.244,1.05,0,0.105,3046.401,2
15.911,1.05,0,0.018,0.231,1
13.876,1.05,50,1.168,3052.136,5
13.384,1.05,0,0.286,6.018,1
14.023,1.05,0,0.236,0.3379999999999999,1
13.576,1.05,0,4.541,8.475999999999999,2
13.599,1.05,0,0.692,3039.368,2
14.953,1.05,0,0.08,0.224,1
14.699,1.05,50,0.744,3020.19,5
14.092,1.05,0,0.022,1.305,1
13.102,1.05,0,0.064,1018.377,2
13.998,1.05,0,0.003,0.261,1
13.672,1.05,0,0.977,1018.946,2
14.22,1.05,0,6.963,0.288,2
13.783,1.05,0,0.042,23.873,1
13.829,1.05,0,0.052,1017.748,2
15.654,1.05,0,0.378,3049.326,2
12.998,1.05,50,0.125,1035.532,5
14.529,1.05,0,0.043,0.252,1
14.412,1.05,0,6.811,0.312,2
14.377,1.05,0,0.482,3032.449,2
14.423,1.05,0,0.102,1015.516,2
13.995,1.05,0,0.01,1.552,1
13.997,1.05,0,0.419,3018.062,2
13.379,1.05,0,0.272,1008.638,2
14.202,1.05,0,0.047,0.242,1
20.328,1.05,0,9.327,5.98,2
20.865,1.05,0,1.354,1012.104,4
22.263,1.05,0,5.212,6.269,2
20.8,1.05,0,0.831,3055.6890000000003,2
25.294,1.05,0,6.741,130546.366,4
22.733,1.05,0,0.123,1036.739,2
19.151,1.05,0,1.391,6.698,2
23.853,1.05,0,0.768,12.968,1
17.057,1.05,0,0.946,1026.365,2
14.565,1.05,0,0.164,1023.114,2
12.699,1.05,0,0.97,1015.163,2
14.478,1.05,0,0.176,1029.631,2
13.705,1.05,0,0.036,0.287,1
13.495,1.05,0,3.714,3036.103,4
13.612,1.05,0,0.046,3038.191,5
14.929,1.05,0,0.014,0.242,1
13.866,1.05,0,0.041,3048.1690000000003,2
13.421,1.05,0,0.246,1002.373,2
15.62,1.05,0,1.512,0.287,2
14.049,1.05,0,0.136,0.33,1
7.701,1.05,0,0.246,7292.275,2
13.621,1.05,0,0.548,1034.127,2
14.116,1.05,0,0.085,0.8059999999999999,1
27.517,1.05,50,0.071,3045.487,5
29.205,1.05,0,4.312,13.15,2
27.16,1.05,0,6.37,10.562,2
16.91,1.05,0,0.0,6.087000000000001,1
27.17,1.05,0,2.426,9.746,2
29.371,1.05,0,0.118,1034.672,2
24.015,1.05,0,2.302,11.917,2
21.421,1.05,0,2.253,1022.341,4
23.674,1.05,0,8.576,14.219,2
23.684,1.05,0,9.708,11.892,2
31.125,1.05,0,0.331,1018.692,2
28.385,1.05,0,4.44,1036.902,4
30.735,1.05,0,2.078,11.367,2
25.875,1.05,0,1.564,14.586,2
26.104,1.05,0,0.349,3054.7650000000003,2
29.434,1.05,0,2.706,1029.0459999999998,4
24.907,1.05,0,7.82,11.577,2
14.043,1.05,0,0.535,15431.396,5
13.237,1.05,50,0.257,3055.561,5
13.577,1.05,0,0.919,3037.121,2
14.695,1.05,0,0.0,1061.237,2
12.752,1.05,0,6.488,0.248,2
14.26,1.05,0,0.687,1016.211,2
14.449,1.05,0,8.48,0.6719999999999999,2
13.536,1.05,0,6.486,0.266,2
7.37,1.05,0,0.378,130636.21,2
40.925,1.05,0,1.17,130316.146,4
38.357,1.05,0,9.488,17.922,2
37.258,1.05,0,1.738,21.335,2
41.183,1.05,0,3.178,3045.6470000000004,4
31.566,1.05,0,0.333,21.316000000000003,1
37.421,1.05,0,3.025,24.528,2
33.533,1.05,0,0.453,15414.426,2
35.434,1.05,0,11.527,20.979000000000003,2
34.089,1.05,0,4.038,1032.341,4
40.461,1.05,0,1.517,17.573999999999998,2
37.37,1.05,0,6.751,20.157,2
36.98,1.05,0,1.946,20.858,2
37.377,1.05,0,5.463,16.104,2
38.413,1.05,50,2.309,7205.044,5
39.991,1.05,0,2.201,20.585,2
37.492,1.05,0,5.448,21.202,2
33.756,1.05,0,0.191,18.126,1
36.528,1.05,0,4.45,1047.4969999999998,4
35.201,1.05,0,2.697,41.671,2
42.906,1.05,0,2.044,26.226,2
47.92,1.05,0,0.891,1037.913,2
57.816,1.05,0,1.287,33.385,2
17.809,1.05,0,14.08,24.48,2
25.069,1.05,0,0.217,1019.86,2
19.15,1.05,0,1.861,7272.491,4
20.155,1.05,0,0.088,1042.085,2
23.183,1.05,0,3.929,5.853,2
17.294,1.05,0,0.0,3039.0660000000003,2
18.725,1.05,0,0.0,25.985,1
18.998,1.05,0,0.003,7271.378000000001,2
18.734,1.05,0,0.0,42.426,1
22.864,1.05,50,0.749,0.6890000000000001,5
20.869,1.05,50,0.993,3037.965,5
17.707,1.05,0,2.615,0.41,2
15.644,1.05,0,0.0,31590.007,2
14.508,1.05,0,0.0,1022.528,2
14.552,1.05,0,0.048,1028.719,2
14.405,1.05,0,0.018,1020.508,5
16.49,1.05,0,0.0,31568.996,5
0.285,1.05,0,0.0,0.42,0
0.258,1.05,50,0.042,0.346,5
0.301,1.05,0,0.0,0.395,0
0.204,1.05,100,0.131,0.428,5
0.259,1.05,0,0.0,7078.968,5
0.284,1.05,50,0.025,0.356,5
0.298,1.05,50,0.019,0.316,5
0.254,1.05,0,0.0,0.422,0
0.309,1.05,0,0.002,0.293,0
0.266,1.05,0,0.0,0.596,5
0.391,1.05,0,0.06,0.301,0
0.436,1.05,0,0.053,0.456,0
0.482,1.05,0,0.051,0.3429999999999999,0
0.527,1.05,0,0.059,0.4679999999999999,0
0.478,1.05,0,0.102,0.347,0
0.493,1.05,0,0.035,0.312,0
0.396,1.05,0,0.09,0.8450000000000001,0
0.482,1.05,0,0.115,0.465,0
0.657,1.05,0,0.051,0.747,0
0.413,1.05,0,0.145,0.754,0
0.454,1.05,0,0.091,0.781,0
0.523,1.05,0,0.064,0.22,0
0.426,1.05,0,0.045,0.8540000000000001,0
0.36,1.05,0,0.089,0.727,0
0.384,1.05,0,0.05,0.313,0
0.407,1.05,0,0.112,0.8019999999999999,0
0.378,1.05,0,0.146,0.259,0
0.51,1.05,0,0.103,0.495,0
0.44,1.05,0,0.093,0.624,0
0.537,1.05,0,0.098,0.374,0
0.36,1.05,0,0.158,0.218,0
0.387,1.05,0,0.011,0.492,0
0.423,1.05,0,0.139,0.317,0
0.414,1.05,0,0.079,0.7200000000000001,0
0.441,1.05,0,0.017,0.546,0
0.331,1.05,0,0.022,0.6769999999999999,0
